,reasons.count,reasons.items,referralId,venue.categories,venue.delivery.id,venue.delivery.provider.icon.name,venue.delivery.provider.icon.prefix,venue.delivery.provider.icon.sizes,venue.delivery.provider.name,venue.delivery.url,venue.events.count,venue.events.items,venue.events.summary,venue.id,venue.location.address,venue.location.cc,venue.location.city,venue.location.country,venue.location.crossStreet,venue.location.formattedAddress,venue.location.labeledLatLngs,venue.location.lat,venue.location.lng,venue.location.neighborhood,venue.location.postalCode,venue.location.state,venue.name,venue.photos.count,venue.photos.groups,venue.venuePage.id,type
10,0,"[{'summary': 'This spot is popular', 'type': 'general', 'reasonName': 'globalInteractionReason'}]",e-3-55203ab9498eb807ad0e6da5-10,"[{'id': '4bf58dd8d48988d16a941735', 'name': 'Bakery', 'pluralName': 'Bakeries', 'shortName': 'Bakery', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/bakery_', 'suffix': '.png'}, 'primary': True}]",,,,,,,,,,55203ab9498eb807ad0e6da5,397 Arguello Blvd,US,San Francisco,United States,at Clement St,"['397 Arguello Blvd (at Clement St)', 'San Francisco, CA 94118', 'United States']","[{'label': 'display', 'lat': 37.78344069001445, 'lng': -122.459102169183}]",37.78344069001445,-122.459102169183,,94118,CA,Arsicault Bakery,0,[],,Bakery
11,0,"[{'summary': 'This spot is popular', 'type': 'general', 'reasonName': 'globalInteractionReason'}]",e-3-43fed1fff964a520fe2f1fe3-11,"[{'id': '4bf58dd8d48988d1ce941735', 'name': 'Seafood Restaurant', 'pluralName': 'Seafood Restaurants', 'shortName': 'Seafood', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/seafood_', 'suffix': '.png'}, 'primary': True}]",,,,,,,,,,43fed1fff964a520fe2f1fe3,1 Ferry Bldg #11,US,San Francisco,United States,at The Embarcadero,"['1 Ferry Bldg #11 (at The Embarcadero)', 'San Francisco, CA 94111', 'United States']","[{'label': 'display', 'lat': 37.79600874910789, 'lng': -122.39357690993523}]",37.79600874910789,-122.39357690993523,,94111,CA,Hog Island Oyster Co.,0,[],52311147,Seafood Restaurant
12,0,"[{'summary': 'This spot is popular', 'type': 'general', 'reasonName': 'globalInteractionReason'}]",e-3-455877bff964a520453d1fe3-12,"[{'id': '4bf58dd8d48988d153941735', 'name': 'Burrito Place', 'pluralName': 'Burrito Places', 'shortName': 'Burritos', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/burrito_', 'suffix': '.png'}, 'primary': True}]",,,,,,,,,,455877bff964a520453d1fe3,2889 Mission St,US,San Francisco,United States,at 25th St,"['2889 Mission St (at 25th St)', 'San Francisco, CA 94110', 'United States']","[{'label': 'display', 'lat': 37.750839872115556, 'lng': -122.41822851062942}]",37.750839872115556,-122.41822851062942,Mission District,94110,CA,La Taqueria,0,[],48020510,Burrito Place
13,0,"[{'summary': 'This spot is popular', 'type': 'general', 'reasonName': 'globalInteractionReason'}]",e-3-5a80ea27c58ed77c7cbcd80c-13,"[{'id': '4bf58dd8d48988d108941735', 'name': 'Dumpling Restaurant', 'pluralName': 'Dumpling Restaurants', 'shortName': 'Dumplings', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/dumplings_', 'suffix': '.png'}, 'primary': True}]",,,,,,,,,,5a80ea27c58ed77c7cbcd80c,2110 Irving St,US,San Francisco,United States,at 22nd Ave,"['2110 Irving St (at 22nd Ave)', 'San Francisco, CA 94122', 'United States']","[{'label': 'display', 'lat': 37.76349394950187, 'lng': -122.4806156236958}]",37.76349394950187,-122.4806156236958,,94122,CA,Yuanbao Jiaozi,0,[],,Dumpling Restaurant
14,0,"[{'summary': 'This spot is popular', 'type': 'general', 'reasonName': 'globalInteractionReason'}]",e-3-49dcfaddf964a520d35f1fe3-14,"[{'id': '4bf58dd8d48988d146941735', 'name': 'Deli / Bodega', 'pluralName': 'Delis / Bodegas', 'shortName': 'Deli / Bodega', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/deli_', 'suffix': '.png'}, 'primary': True}]",,,,,,,,,,49dcfaddf964a520d35f1fe3,2299 Chestnut St,US,San Francisco,United States,at Scott St,"['2299 Chestnut St (at Scott St)', 'San Francisco, CA 94123', 'United States']","[{'label': 'display', 'lat': 37.80018533584468, 'lng': -122.44113691634651}]",37.80018533584468,-122.44113691634651,,94123,CA,Marina Deli & Liquors,0,[],,Deli / Bodega
15,0,"[{'summary': 'This spot is popular', 'type': 'general', 'reasonName': 'globalInteractionReason'}]",e-3-5407c3ee498e743eaa28f797-15,"[{'id': '4bf58dd8d48988d142941735', 'name': 'Asian Restaurant', 'pluralName': 'Asian Restaurants', 'shortName': 'Asian', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/asian_', 'suffix': '.png'}, 'primary': True}]",,,,,,,,,,5407c3ee498e743eaa28f797,903 Cortland Ave,US,San Francisco,United States,,"['903 Cortland Ave', 'San Francisco, CA 94110', 'United States']","[{'label': 'display', 'lat': 37.73895675221519, 'lng': -122.41389540466913}]",37.73895675221519,-122.41389540466913,Bernal Heights,94110,CA,Nute's Noodle Night,0,[],,Asian Restaurant
16,0,"[{'summary': 'This spot is popular', 'type': 'general', 'reasonName': 'globalInteractionReason'}]",e-3-50243fd229a61e4b21a26e16-16,"[{'id': '4bf58dd8d48988d107941735', 'name': 'Argentinian Restaurant', 'pluralName': 'Argentinian Restaurants', 'shortName': 'Argentinian', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/argentinian_', 'suffix': '.png'}, 'primary': True}]",,,,,,,,,,50243fd229a61e4b21a26e16,2518 Mission St,US,San Francisco,United States,at 21st St,"['2518 Mission St (at 21st St)', 'San Francisco, CA 94110', 'United States']","[{'label': 'display', 'lat': 37.75664147908394, 'lng': -122.41907298564968}]",37.75664147908394,-122.41907298564968,,94110,CA,Lolinda,0,[],58650494,Argentinian Restaurant
17,0,"[{'summary': 'This spot is popular', 'type': 'general', 'reasonName': 'globalInteractionReason'}]",e-3-4db0bc8e0437a93f7f7a23e7-17,"[{'id': '4bf58dd8d48988d16a941735', 'name': 'Bakery', 'pluralName': 'Bakeries', 'shortName': 'Bakery', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/bakery_', 'suffix': '.png'}, 'primary': True}]",,,,,,,,,,4db0bc8e0437a93f7f7a23e7,3876 Noriega St,US,San Francisco,United States,btwn 45th & 46th Ave,"['3876 Noriega St (btwn 45th & 46th Ave)', 'San Francisco, CA 94122', 'United States']","[{'label': 'display', 'lat': 37.75304489305452, 'lng': -122.50502521764298}]",37.75304489305452,-122.50502521764298,,94122,CA,Devil's Teeth Baking Company,0,[],,Bakery
18,0,"[{'summary': 'This spot is popular', 'type': 'general', 'reasonName': 'globalInteractionReason'}]",e-3-49d30c0ff964a520e85b1fe3-18,"[{'id': '4bf58dd8d48988d10c941735', 'name': 'French Restaurant', 'pluralName': 'French Restaurants', 'shortName': 'French', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/french_', 'suffix': '.png'}, 'primary': True}]",,,,,,,,,,49d30c0ff964a520e85b1fe3,151 Noe St,US,San Francisco,United States,at Henry St,"['151 Noe St (at Henry St)', 'San Francisco, CA 94114', 'United States']","[{'label': 'display', 'lat': 37.766674548230164, 'lng': -122.43326095822378}]",37.766674548230164,-122.43326095822378,,94114,CA,L'Ardoise,0,[],,French Restaurant
19,0,"[{'summary': 'This spot is popular', 'type': 'general', 'reasonName': 'globalInteractionReason'}]",e-3-3fd66200f964a52017ed1ee3-19,"[{'id': '4bf58dd8d48988d1d2941735', 'name': 'Sushi Restaurant', 'pluralName': 'Sushi Restaurants', 'shortName': 'Sushi', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/sushi_', 'suffix': '.png'}, 'primary': True}]",,,,,,,,,,3fd66200f964a52017ed1ee3,1283 9th Ave,US,San Francisco,United States,at Irving,"['1283 9th Ave (at Irving)', 'San Francisco, CA 94122', 'United States']","[{'label': 'display', 'lat': 37.76435429827475, 'lng': -122.46635766882568}]",37.76435429827475,-122.46635766882568,,94122,CA,Ebisu,0,[],,Sushi Restaurant
