,name,id,category,address,lat,lng,city,state,rating,price_tier,serves,bucket,big_bucket,image_url,like_counts
40,Wolfgang Puck Express,4ae0fd4ff964a520538421e3,'new american restaurant',Terminal 7,33.94140455,-118.4000783,Los Angeles,CA,5.5,2,"Dinner, Breakfast & more",3,1,https://fastly.4sqi.net/img/general/300x500/10234579_1VvDS2fDzvx-DXxEctbKBXisuWGs2iGanhzs_QK-YcQ.jpg,80
41,LA Market,5226b47911d21ae6438474d2,'sandwich place',Terminal 7,33.94154573,-118.39964850000001,Los Angeles,CA,,1,,0,1,,1
42,Twist Burgers Truck,4d8e4241d4ec8cfa33f76e89,'food truck',na,33.93024732,-118.38571540000001,Southern California,CA,,1,,0,1,,0
43,M&I Cafe,4b6b2ad9f964a5200ff72be3,'american restaurant',2222 E Imperial Hwy,33.93024993,-118.38571540000001,El Segundo,CA,,1,,3,1,https://fastly.4sqi.net/img/general/300x500/627713_QapAp1XYPbjxKpGePtRMNHJsNgoK3x0p5JUzzT-GvxA.jpg,4
44,Vahe Food Truck At Eagle Remote Terminal,4fe2161fe4b0bd44619fcc14,'food truck',na,33.94197873,-118.3942683,Los Angeles,CA,,1,,0,1,https://fastly.4sqi.net/img/general/300x500/28137945_MXYv9xUxEnfzvtYCdBd6sKVS1U-z7nZLiONfF-7WqPc.jpg,1
45,Osteria To Go,577ed195498e1364303b2f8e,'italian restaurant',Terminal 6,33.941154,-118.40188799999999,Los Angeles,CA,,2,,7,1,,1
46,Mariposas,4baaf6a7f964a520d68f3ae3,'café',525 N Sepulveda Blvd,33.92344706,-118.39665459999999,El Segundo,CA,,1,,1,1,https://fastly.4sqi.net/img/general/300x500/27006046_MH8vcgb_yoH-4_RLUT3rskMtOIVXBiymAPdkQDtA_uE.jpg,2
47,Wolfgang Puck Marketplace,5a8c996d4c9be643d73f7c14,'new american restaurant',na,33.94138087,-118.402014,Los Angeles,CA,,3,"Dinner, Breakfast & more",3,1,https://fastly.4sqi.net/img/general/300x500/5559231_8QtBZaZmUtYPDzRT85gcVSRS5l67a3JsmxNMiH018Yo.jpg,2
48,WPizza,56c789c2cd10041d2d15283e,'pizza place',"Terminal 6, near Gate 60",33.94155711,-118.4021361,Los Angeles,CA,5.5,1,"Dinner, Breakfast & more",5,1,https://fastly.4sqi.net/img/general/300x500/18196741_o3I-9h5bhPV4whJJnbl0Ixejq1IIFk3QzrMIWiHfnEg.jpg,7
49,Karl Storz Food Truck Spot,50941f60e4b05f8bb514d731,'food truck',2151 E Grand Ave,33.92649269,-118.3873473,El Segundo,CA,,1,,0,1,,0
50,The Kitchen,56cb4411cd10adc824005af7,'new american restaurant',na,33.94170695,-118.40183370000001,Los Angeles,CA,,3,,3,1,https://fastly.4sqi.net/img/general/300x500/26076110_6ZgJ6nN5BGClIJUwh3HskLlXoY5Aw8da4qN3wQChYKg.jpg,0
51,Lemonade,504fdbf5e4b0b8484cc85687,'mediterranean restaurant',Terminal 5,33.94048196,-118.4042362,Los Angeles,CA,,2,"Dinner, Lunch & more",8,1,https://fastly.4sqi.net/img/general/300x500/321975_b-ObeZzp-MZDcKpr0kpuJkgTF0yl_wrrcXXA6Lk01Nc.jpg,0
52,Hyatt Place Breakfast Nook,533597f9498e78ea16984434,'breakfast spot',na,33.92625018,-118.38706200000001,El Segundo,CA,,1,Breakfast,0,1,https://fastly.4sqi.net/img/general/300x500/229343_eL3W9uXIqlbMHlvXB8zJKgmthH17RSkzX3s-Zx2RfyY.jpg,2
53,DIRECTV Food Truck Lot,4e29da66b61cd0108362e190,'food truck',2230 E Imperial Hwy,33.93042999,-118.384346,El Segundo,CA,,1,,0,1,https://fastly.4sqi.net/img/general/300x500/573411_kG93oGBA_dolGdl05fMyOl-zSt324FwY6KtEk62tlmE.jpg,3
54,Chile Verde,4b5622edf964a520040228e3,'mexican restaurant',630 N Sepulveda Blvd,33.92408157,-118.39490729999999,El Segundo,CA,5.4,1,,4,1,https://fastly.4sqi.net/img/general/300x500/51975506_F3fU4tBjYhpr-zE7DQ0Cxs_jiqwAju_QUjKsh_lXKpM.jpg,3
55,Patty Wagon Food Truck,4b93029ff964a5208e2e34e3,'food truck',na,34.03357554,-118.2314328,Los Angeles,CA,8.1,1,,0,1,https://fastly.4sqi.net/img/general/300x500/l_s86IOFaJRB5svzAVv-ZX1yJjc5pHVNgEyyANPcigw.jpg,20
56,Malibu Farm Cafe,5227b18b11d2ae884a20faef,'café',23000 Pacific Coast Hwy,34.035607,-118.67563,Malibu,CA,9.1,2,"Dinner, Lunch & more",1,1,https://fastly.4sqi.net/img/general/300x500/67937316_mnUGAr7kHR4ZMkjOeaeWtbBWNY9JnXpIhik9cZwovPw.jpg,536
57,Nobu Malibu,501186f8e4b0f164322a22ae,'seafood restaurant',22752 Pacific Coast Highway,34.0390636,-118.6711,Malibu,CA,9.3,4,"Dinner, Lunch & more",3,1,https://fastly.4sqi.net/img/general/300x500/1683817_h084BX4UiNKRaa-oDadz1Q_azo4ZCiPb6NFP7-I5EZo.jpg,853
